[outputs_v4_final] Epoch 0001 | Train 0.020244 | Val 0.011394 | TF 1.0000 | best 0.011394@1
[outputs_v4_final] Epoch 0002 | Train 0.011055 | Val 0.009400 | TF 0.9982 | best 0.009400@2
[outputs_v4_final] Epoch 0003 | Train 0.009686 | Val 0.009230 | TF 0.9964 | best 0.009230@3
[outputs_v4_final] Epoch 0004 | Train 0.009102 | Val 0.008316 | TF 0.9946 | best 0.008316@4
[outputs_v4_final] Epoch 0005 | Train 0.008237 | Val 0.007413 | TF 0.9928 | best 0.007413@5
[outputs_v4_final] Epoch 0006 | Train 0.006259 | Val 0.004752 | TF 0.9910 | best 0.004752@6
[outputs_v4_final] Epoch 0007 | Train 0.004312 | Val 0.003476 | TF 0.9892 | best 0.003476@7
[outputs_v4_final] Epoch 0008 | Train 0.003047 | Val 0.002689 | TF 0.9874 | best 0.002689@8
[outputs_v4_final] Epoch 0009 | Train 0.002324 | Val 0.002131 | TF 0.9856 | best 0.002131@9
[outputs_v4_final] Epoch 0010 | Train 0.001895 | Val 0.001969 | TF 0.9838 | best 0.001969@10
[outputs_v4_final] Epoch 0011 | Train 0.001552 | Val 0.001556 | TF 0.9820 | best 0.001556@11
[outputs_v4_final] Epoch 0012 | Train 0.001351 | Val 0.001395 | TF 0.9802 | best 0.001395@12
[outputs_v4_final] Epoch 0013 | Train 0.001203 | Val 0.001370 | TF 0.9784 | best 0.001370@13
[outputs_v4_final] Epoch 0014 | Train 0.001109 | Val 0.001202 | TF 0.9766 | best 0.001202@14
[outputs_v4_final] Epoch 0015 | Train 0.001023 | Val 0.001084 | TF 0.9747 | best 0.001084@15
[outputs_v4_final] Epoch 0016 | Train 0.000966 | Val 0.001130 | TF 0.9729 | best 0.001084@15
[outputs_v4_final] Epoch 0017 | Train 0.000929 | Val 0.001033 | TF 0.9711 | best 0.001033@17
[outputs_v4_final] Epoch 0018 | Train 0.000843 | Val 0.001064 | TF 0.9693 | best 0.001033@17
[outputs_v4_final] Epoch 0019 | Train 0.000823 | Val 0.000978 | TF 0.9675 | best 0.000978@19
[outputs_v4_final] Epoch 0020 | Train 0.000804 | Val 0.000925 | TF 0.9657 | best 0.000925@20
