[outputs_v4_kappa0] Epoch 0001 | Train 0.020283 | Val 0.011403 | TF 1.0000 | best 0.011403@1
[outputs_v4_kappa0] Epoch 0002 | Train 0.011030 | Val 0.009351 | TF 0.9982 | best 0.009351@2
[outputs_v4_kappa0] Epoch 0003 | Train 0.009669 | Val 0.009210 | TF 0.9964 | best 0.009210@3
[outputs_v4_kappa0] Epoch 0004 | Train 0.009088 | Val 0.008309 | TF 0.9946 | best 0.008309@4
[outputs_v4_kappa0] Epoch 0005 | Train 0.008197 | Val 0.007311 | TF 0.9928 | best 0.007311@5
[outputs_v4_kappa0] Epoch 0006 | Train 0.006117 | Val 0.004762 | TF 0.9910 | best 0.004762@6
[outputs_v4_kappa0] Epoch 0007 | Train 0.004207 | Val 0.003414 | TF 0.9892 | best 0.003414@7
[outputs_v4_kappa0] Epoch 0008 | Train 0.002920 | Val 0.002538 | TF 0.9874 | best 0.002538@8
[outputs_v4_kappa0] Epoch 0009 | Train 0.002184 | Val 0.001968 | TF 0.9856 | best 0.001968@9
[outputs_v4_kappa0] Epoch 0010 | Train 0.001770 | Val 0.001776 | TF 0.9838 | best 0.001776@10
[outputs_v4_kappa0] Epoch 0011 | Train 0.001459 | Val 0.001442 | TF 0.9820 | best 0.001442@11
[outputs_v4_kappa0] Epoch 0012 | Train 0.001273 | Val 0.001296 | TF 0.9802 | best 0.001296@12
[outputs_v4_kappa0] Epoch 0013 | Train 0.001156 | Val 0.001294 | TF 0.9784 | best 0.001294@13
[outputs_v4_kappa0] Epoch 0014 | Train 0.001072 | Val 0.001166 | TF 0.9766 | best 0.001166@14
[outputs_v4_kappa0] Epoch 0015 | Train 0.001003 | Val 0.001073 | TF 0.9747 | best 0.001073@15
[outputs_v4_kappa0] Epoch 0016 | Train 0.000952 | Val 0.001164 | TF 0.9729 | best 0.001073@15
[outputs_v4_kappa0] Epoch 0017 | Train 0.000920 | Val 0.001040 | TF 0.9711 | best 0.001040@17
[outputs_v4_kappa0] Epoch 0018 | Train 0.000831 | Val 0.001077 | TF 0.9693 | best 0.001040@17
[outputs_v4_kappa0] Epoch 0019 | Train 0.000811 | Val 0.000987 | TF 0.9675 | best 0.000987@19
[outputs_v4_kappa0] Epoch 0020 | Train 0.000788 | Val 0.000921 | TF 0.9657 | best 0.000921@20
[outputs_v4_kappa0] Epoch 0021 | Train 0.000784 | Val 0.001043 | TF 0.9639 | best 0.000921@20
[outputs_v4_kappa0] Epoch 0022 | Train 0.000721 | Val 0.000864 | TF 0.9621 | best 0.000864@22
[outputs_v4_kappa0] Epoch 0023 | Train 0.000706 | Val 0.000946 | TF 0.9603 | best 0.000864@22
[outputs_v4_kappa0] Epoch 0024 | Train 0.000695 | Val 0.000799 | TF 0.9585 | best 0.000799@24
[outputs_v4_kappa0] Epoch 0025 | Train 0.000664 | Val 0.000915 | TF 0.9567 | best 0.000799@24
[outputs_v4_kappa0] Epoch 0026 | Train 0.000628 | Val 0.000732 | TF 0.9549 | best 0.000732@26
[outputs_v4_kappa0] Epoch 0027 | Train 0.000596 | Val 0.000722 | TF 0.9531 | best 0.000722@27
[outputs_v4_kappa0] Epoch 0028 | Train 0.000563 | Val 0.000714 | TF 0.9513 | best 0.000714@28
[outputs_v4_kappa0] Epoch 0029 | Train 0.000528 | Val 0.000758 | TF 0.9495 | best 0.000714@28
[outputs_v4_kappa0] Epoch 0030 | Train 0.000489 | Val 0.000619 | TF 0.9477 | best 0.000619@30
[outputs_v4_kappa0] Epoch 0031 | Train 0.000448 | Val 0.000735 | TF 0.9459 | best 0.000619@30
[outputs_v4_kappa0] Epoch 0032 | Train 0.000402 | Val 0.000598 | TF 0.9441 | best 0.000598@32
[outputs_v4_kappa0] Epoch 0033 | Train 0.000354 | Val 0.000540 | TF 0.9423 | best 0.000540@33
[outputs_v4_kappa0] Epoch 0034 | Train 0.000308 | Val 0.000427 | TF 0.9405 | best 0.000427@34
[outputs_v4_kappa0] Epoch 0035 | Train 0.000267 | Val 0.000402 | TF 0.9387 | best 0.000402@35
[outputs_v4_kappa0] Epoch 0036 | Train 0.000229 | Val 0.000423 | TF 0.9369 | best 0.000402@35
[outputs_v4_kappa0] Epoch 0037 | Train 0.000207 | Val 0.000365 | TF 0.9351 | best 0.000365@37
[outputs_v4_kappa0] Epoch 0038 | Train 0.000185 | Val 0.000285 | TF 0.9333 | best 0.000285@38
[outputs_v4_kappa0] Epoch 0039 | Train 0.000165 | Val 0.000301 | TF 0.9315 | best 0.000285@38
[outputs_v4_kappa0] Epoch 0040 | Train 0.000156 | Val 0.000284 | TF 0.9297 | best 0.000284@40
[outputs_v4_kappa0] Epoch 0041 | Train 0.000148 | Val 0.000282 | TF 0.9279 | best 0.000282@41
[outputs_v4_kappa0] Epoch 0042 | Train 0.000145 | Val 0.000277 | TF 0.9261 | best 0.000277@42
[outputs_v4_kappa0] Epoch 0043 | Train 0.000130 | Val 0.000208 | TF 0.9242 | best 0.000208@43
[outputs_v4_kappa0] Epoch 0044 | Train 0.000119 | Val 0.000192 | TF 0.9224 | best 0.000192@44
[outputs_v4_kappa0] Epoch 0045 | Train 0.000118 | Val 0.000192 | TF 0.9206 | best 0.000192@45
[outputs_v4_kappa0] Epoch 0046 | Train 0.000108 | Val 0.000198 | TF 0.9188 | best 0.000192@45
[outputs_v4_kappa0] Epoch 0047 | Train 0.000102 | Val 0.000170 | TF 0.9170 | best 0.000170@47
[outputs_v4_kappa0] Epoch 0048 | Train 0.000098 | Val 0.000157 | TF 0.9152 | best 0.000157@48
[outputs_v4_kappa0] Epoch 0049 | Train 0.000094 | Val 0.000154 | TF 0.9134 | best 0.000154@49
[outputs_v4_kappa0] Epoch 0050 | Train 0.000088 | Val 0.000192 | TF 0.9116 | best 0.000154@49
[outputs_v4_kappa0] Epoch 0051 | Train 0.000085 | Val 0.000160 | TF 0.9098 | best 0.000154@49
[outputs_v4_kappa0] Epoch 0052 | Train 0.000080 | Val 0.000166 | TF 0.9080 | best 0.000154@49
[outputs_v4_kappa0] Epoch 0053 | Train 0.000081 | Val 0.000199 | TF 0.9062 | best 0.000154@49
[outputs_v4_kappa0] Epoch 0054 | Train 0.000080 | Val 0.000132 | TF 0.9044 | best 0.000132@54
[outputs_v4_kappa0] Epoch 0055 | Train 0.000073 | Val 0.000120 | TF 0.9026 | best 0.000120@55
[outputs_v4_kappa0] Epoch 0056 | Train 0.000070 | Val 0.000113 | TF 0.9008 | best 0.000113@56
[outputs_v4_kappa0] Epoch 0057 | Train 0.000067 | Val 0.000121 | TF 0.8990 | best 0.000113@56
[outputs_v4_kappa0] Epoch 0058 | Train 0.000068 | Val 0.000128 | TF 0.8972 | best 0.000113@56
[outputs_v4_kappa0] Epoch 0059 | Train 0.000067 | Val 0.000110 | TF 0.8954 | best 0.000110@59
[outputs_v4_kappa0] Epoch 0060 | Train 0.000062 | Val 0.000114 | TF 0.8936 | best 0.000110@59
[outputs_v4_kappa0] Epoch 0061 | Train 0.000064 | Val 0.000093 | TF 0.8918 | best 0.000093@61
[outputs_v4_kappa0] Epoch 0062 | Train 0.000066 | Val 0.000085 | TF 0.8900 | best 0.000085@62
[outputs_v4_kappa0] Epoch 0063 | Train 0.000064 | Val 0.000094 | TF 0.8882 | best 0.000085@62
[outputs_v4_kappa0] Epoch 0064 | Train 0.000060 | Val 0.000080 | TF 0.8864 | best 0.000080@64
[outputs_v4_kappa0] Epoch 0065 | Train 0.000056 | Val 0.000109 | TF 0.8846 | best 0.000080@64
[outputs_v4_kappa0] Epoch 0066 | Train 0.000057 | Val 0.000079 | TF 0.8828 | best 0.000079@66
[outputs_v4_kappa0] Epoch 0067 | Train 0.000055 | Val 0.000091 | TF 0.8810 | best 0.000079@66
[outputs_v4_kappa0] Epoch 0068 | Train 0.000053 | Val 0.000096 | TF 0.8792 | best 0.000079@66
[outputs_v4_kappa0] Epoch 0069 | Train 0.000050 | Val 0.000081 | TF 0.8774 | best 0.000079@66
[outputs_v4_kappa0] Epoch 0070 | Train 0.000048 | Val 0.000081 | TF 0.8756 | best 0.000079@66
[outputs_v4_kappa0] Epoch 0071 | Train 0.000048 | Val 0.000074 | TF 0.8737 | best 0.000074@71
[outputs_v4_kappa0] Epoch 0072 | Train 0.000047 | Val 0.000072 | TF 0.8719 | best 0.000072@72
[outputs_v4_kappa0] Epoch 0073 | Train 0.000046 | Val 0.000089 | TF 0.8701 | best 0.000072@72
[outputs_v4_kappa0] Epoch 0074 | Train 0.000046 | Val 0.000075 | TF 0.8683 | best 0.000072@72
[outputs_v4_kappa0] Epoch 0075 | Train 0.000046 | Val 0.000069 | TF 0.8665 | best 0.000069@75
[outputs_v4_kappa0] Epoch 0076 | Train 0.000043 | Val 0.000064 | TF 0.8647 | best 0.000064@76
[outputs_v4_kappa0] Epoch 0077 | Train 0.000043 | Val 0.000072 | TF 0.8629 | best 0.000064@76
[outputs_v4_kappa0] Epoch 0078 | Train 0.000043 | Val 0.000079 | TF 0.8611 | best 0.000064@76
[outputs_v4_kappa0] Epoch 0079 | Train 0.000042 | Val 0.000063 | TF 0.8593 | best 0.000063@79
[outputs_v4_kappa0] Epoch 0080 | Train 0.000041 | Val 0.000084 | TF 0.8575 | best 0.000063@79
[outputs_v4_kappa0] Epoch 0081 | Train 0.000040 | Val 0.000062 | TF 0.8557 | best 0.000062@81
[outputs_v4_kappa0] Epoch 0082 | Train 0.000038 | Val 0.000059 | TF 0.8539 | best 0.000059@82
[outputs_v4_kappa0] Epoch 0083 | Train 0.000037 | Val 0.000070 | TF 0.8521 | best 0.000059@82
[outputs_v4_kappa0] Epoch 0084 | Train 0.000039 | Val 0.000054 | TF 0.8503 | best 0.000054@84
[outputs_v4_kappa0] Epoch 0085 | Train 0.000037 | Val 0.000069 | TF 0.8485 | best 0.000054@84
[outputs_v4_kappa0] Epoch 0086 | Train 0.000037 | Val 0.000058 | TF 0.8467 | best 0.000054@84
[outputs_v4_kappa0] Epoch 0087 | Train 0.000035 | Val 0.000052 | TF 0.8449 | best 0.000052@87
[outputs_v4_kappa0] Epoch 0088 | Train 0.000035 | Val 0.000049 | TF 0.8431 | best 0.000049@88
[outputs_v4_kappa0] Epoch 0089 | Train 0.000035 | Val 0.000053 | TF 0.8413 | best 0.000049@88
[outputs_v4_kappa0] Epoch 0090 | Train 0.000034 | Val 0.000047 | TF 0.8395 | best 0.000047@90
[outputs_v4_kappa0] Epoch 0091 | Train 0.000034 | Val 0.000048 | TF 0.8377 | best 0.000047@90
[outputs_v4_kappa0] Epoch 0092 | Train 0.000032 | Val 0.000048 | TF 0.8359 | best 0.000047@90
[outputs_v4_kappa0] Epoch 0093 | Train 0.000032 | Val 0.000048 | TF 0.8341 | best 0.000047@90
[outputs_v4_kappa0] Epoch 0094 | Train 0.000032 | Val 0.000044 | TF 0.8323 | best 0.000044@94
[outputs_v4_kappa0] Epoch 0095 | Train 0.000032 | Val 0.000044 | TF 0.8305 | best 0.000044@95
[outputs_v4_kappa0] Epoch 0096 | Train 0.000031 | Val 0.000055 | TF 0.8287 | best 0.000044@95
[outputs_v4_kappa0] Epoch 0097 | Train 0.000031 | Val 0.000048 | TF 0.8269 | best 0.000044@95
[outputs_v4_kappa0] Epoch 0098 | Train 0.000032 | Val 0.000041 | TF 0.8251 | best 0.000041@98
