[smoothed] Epoch 0001 | Train 0.032049 | Val 0.011729 | TF 1.0000 | best 0.011729@1
[smoothed] Epoch 0002 | Train 0.011915 | Val 0.010086 | TF 0.9982 | best 0.010086@2
[smoothed] Epoch 0003 | Train 0.009789 | Val 0.009056 | TF 0.9964 | best 0.009056@3
[smoothed] Epoch 0004 | Train 0.009369 | Val 0.008850 | TF 0.9946 | best 0.008850@4
[smoothed] Epoch 0005 | Train 0.009214 | Val 0.008617 | TF 0.9928 | best 0.008617@5
[smoothed] Epoch 0006 | Train 0.008742 | Val 0.007847 | TF 0.9910 | best 0.007847@6
[smoothed] Epoch 0007 | Train 0.007446 | Val 0.006046 | TF 0.9892 | best 0.006046@7
[smoothed] Epoch 0008 | Train 0.005333 | Val 0.003781 | TF 0.9874 | best 0.003781@8
[smoothed] Epoch 0009 | Train 0.003305 | Val 0.002465 | TF 0.9856 | best 0.002465@9
[smoothed] Epoch 0010 | Train 0.002222 | Val 0.001921 | TF 0.9838 | best 0.001921@10
[smoothed] Epoch 0011 | Train 0.001681 | Val 0.001737 | TF 0.9820 | best 0.001737@11
[smoothed] Epoch 0012 | Train 0.001401 | Val 0.001358 | TF 0.9802 | best 0.001358@12
[smoothed] Epoch 0013 | Train 0.001208 | Val 0.001244 | TF 0.9784 | best 0.001244@13
[smoothed] Epoch 0014 | Train 0.001057 | Val 0.001158 | TF 0.9766 | best 0.001158@14
[smoothed] Epoch 0015 | Train 0.000974 | Val 0.000999 | TF 0.9747 | best 0.000999@15
[smoothed] Epoch 0016 | Train 0.000863 | Val 0.000901 | TF 0.9729 | best 0.000901@16
[smoothed] Epoch 0017 | Train 0.000806 | Val 0.001028 | TF 0.9711 | best 0.000901@16
[smoothed] Epoch 0018 | Train 0.000798 | Val 0.001160 | TF 0.9693 | best 0.000901@16
[smoothed] Epoch 0019 | Train 0.000761 | Val 0.000800 | TF 0.9675 | best 0.000800@19
[smoothed] Epoch 0020 | Train 0.000729 | Val 0.000897 | TF 0.9657 | best 0.000800@19
[smoothed] Epoch 0021 | Train 0.000685 | Val 0.000730 | TF 0.9639 | best 0.000730@21
[smoothed] Epoch 0022 | Train 0.000677 | Val 0.000775 | TF 0.9621 | best 0.000730@21
[smoothed] Epoch 0023 | Train 0.000657 | Val 0.000756 | TF 0.9603 | best 0.000730@21
[smoothed] Epoch 0024 | Train 0.000615 | Val 0.000970 | TF 0.9585 | best 0.000730@21
[smoothed] Epoch 0025 | Train 0.000614 | Val 0.000711 | TF 0.9567 | best 0.000711@25
[smoothed] Epoch 0026 | Train 0.000574 | Val 0.000679 | TF 0.9549 | best 0.000679@26
[smoothed] Epoch 0027 | Train 0.000508 | Val 0.000564 | TF 0.9531 | best 0.000564@27
[smoothed] Epoch 0028 | Train 0.000456 | Val 0.000482 | TF 0.9513 | best 0.000482@28
[smoothed] Epoch 0029 | Train 0.000481 | Val 0.000694 | TF 0.9495 | best 0.000482@28
[smoothed] Epoch 0030 | Train 0.000416 | Val 0.000420 | TF 0.9477 | best 0.000420@30
[smoothed] Epoch 0031 | Train 0.000332 | Val 0.000348 | TF 0.9459 | best 0.000348@31
[smoothed] Epoch 0032 | Train 0.000310 | Val 0.000909 | TF 0.9441 | best 0.000348@31
[smoothed] Epoch 0033 | Train 0.000281 | Val 0.000332 | TF 0.9423 | best 0.000332@33
