/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.0003_k0.5_osc50_vh32] Epoch 0001 | Train 0.032784 | Val 0.020796 | TF 1.0000 | best 0.020796@1
[lr0.0003_k0.5_osc50_vh32] Epoch 0002 | Train 0.015809 | Val 0.012000 | TF 0.9964 | best 0.012000@2
[lr0.0003_k0.5_osc50_vh32] Epoch 0003 | Train 0.011133 | Val 0.010088 | TF 0.9928 | best 0.010088@3
[lr0.0003_k0.5_osc50_vh32] Epoch 0004 | Train 0.010170 | Val 0.009511 | TF 0.9892 | best 0.009511@4
[lr0.0003_k0.5_osc50_vh32] Epoch 0005 | Train 0.009753 | Val 0.009165 | TF 0.9855 | best 0.009165@5
[lr0.0003_k0.5_osc50_vh32] Epoch 0006 | Train 0.009513 | Val 0.009040 | TF 0.9819 | best 0.009040@6
[lr0.0003_k0.5_osc50_vh32] Epoch 0007 | Train 0.009316 | Val 0.008898 | TF 0.9783 | best 0.008898@7
[lr0.0003_k0.5_osc50_vh32] Epoch 0008 | Train 0.009198 | Val 0.008776 | TF 0.9747 | best 0.008776@8
[lr0.0003_k0.5_osc50_vh32] Epoch 0009 | Train 0.009127 | Val 0.008498 | TF 0.9711 | best 0.008498@9
[lr0.0003_k0.5_osc50_vh32] Epoch 0010 | Train 0.008704 | Val 0.008224 | TF 0.9675 | best 0.008224@10
[lr0.0003_k0.5_osc50_vh32] Epoch 0011 | Train 0.008290 | Val 0.007684 | TF 0.9639 | best 0.007684@11
[lr0.0003_k0.5_osc50_vh32] Epoch 0012 | Train 0.007657 | Val 0.006936 | TF 0.9602 | best 0.006936@12
[lr0.0003_k0.5_osc50_vh32] Epoch 0013 | Train 0.006646 | Val 0.005825 | TF 0.9566 | best 0.005825@13
[lr0.0003_k0.5_osc50_vh32] Epoch 0014 | Train 0.005399 | Val 0.004625 | TF 0.9530 | best 0.004625@14
